method,eval_id,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mae_std,total_fit_time
grid,24,7,0.08,4.0,1.0,1.2,1.2300123890890449,0.042527370578043414,0.40011892031429747,0.04357310234069637,0.8931126132875067,0.03181872558439283,6.214184284210205
grid,25,7,0.08,4.0,1.2,0.8,1.2279392819362396,0.043799541906408036,0.4023453568333565,0.041136378519674055,0.8900874685244803,0.031144416915864153,6.159912109375
grid,26,7,0.08,4.0,1.2,1.0,1.2276183772043339,0.045081438387548495,0.40241334141062113,0.045064419155729854,0.8904335219545771,0.03385314148178536,6.010162353515625
grid,27,7,0.08,4.0,1.2,1.2,1.2273467486151592,0.0448205546551658,0.4029787140979385,0.04090002247129958,0.8893087837225535,0.03212020818853001,5.986422300338745
grid,28,7,0.1,2.0,0.8,0.8,1.2272644034725162,0.042303449507909284,0.40273604930188933,0.044004865060489264,0.8900759909745675,0.032594458336761535,5.93375825881958
grid,29,7,0.1,2.0,0.8,1.0,1.2299434039561112,0.039994256175267674,0.40010723121213754,0.04359517473758392,0.8932002591416108,0.031982055647258686,5.821559906005859
grid,30,7,0.1,2.0,0.8,1.2,1.2267343693488348,0.04303739598524124,0.40358260719214656,0.03978968360477749,0.8893158373910917,0.029582483574685344,5.825468063354492
grid,31,7,0.1,2.0,1.0,0.8,1.225253230620829,0.04391597283688823,0.4049901448569484,0.040641286254390764,0.888474735232581,0.03029514519445288,5.723692417144775
grid,32,7,0.1,2.0,1.0,1.0,1.225459447479453,0.044646177675075574,0.4047603300862794,0.04142089450175252,0.8879214772562003,0.03038953553406445,5.672228813171387
grid,33,7,0.1,2.0,1.0,1.2,1.2329956267569555,0.04218666166520154,0.3971928570407246,0.04378902390720173,0.8949448217293533,0.03226167379145173,5.712944507598877
grid,34,7,0.1,2.0,1.2,0.8,1.2302879135111384,0.04457661770574395,0.3998797250816478,0.04414281097226521,0.8918984641502046,0.03297216976811367,5.69731593132019
grid,35,7,0.1,2.0,1.2,1.0,1.2291083547939887,0.04200120875597384,0.4011049262156556,0.04170717179986403,0.8911873148182103,0.030618802838457176,5.679218292236328
grid,36,7,0.1,2.0,1.2,1.2,1.222833115376211,0.04673126029397081,0.4073812477907949,0.04132867236446367,0.8846657621393004,0.03163863871390497,5.9772562980651855
