method,eval_id,gen,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mae_std,total_fit_time
ga,52,2,6,0.15454647721959652,1.4688346867518005,0.045424146267720955,1.6645196027904021,1.233426548576047,0.04274114110588093,0.3965654860083819,0.04687712575369315,0.8950510356511121,0.03314411033220433,5.283687353134155
ga,53,2,8,0.13610487113404368,2.7805559800742103,0.4914413814248496,1.07936220539995,1.2274041555141753,0.04221452159557849,0.40288627103818114,0.04006582732248688,0.8901624763754823,0.029257108506097217,6.608606815338135
ga,54,2,8,0.07982202158232628,1.687480340010694,1.3396279893650207,0.611913248301305,1.226361479274837,0.045643953842409574,0.4038434606254733,0.04249720606736289,0.8882107723008845,0.03183649163468471,6.61950945854187
ga,55,2,8,0.13610487113404368,2.8965246597927927,0.3225435580672036,1.6645196027904021,1.2277293555889752,0.0409651684180556,0.4025588551794289,0.03966515789357388,0.8892201445454665,0.030394966835199155,6.692552089691162
ga,56,2,8,0.1480511118517336,1.798102118628684,0.0,0.0,1.2195393774382157,0.046984790167336185,0.41065082503639044,0.04014400406120455,0.8793729634665818,0.0315948411054465,6.514209032058716
ga,57,2,8,0.13610487113404368,2.8965246597927927,0.045424146267720955,0.1800957215512835,1.2192850953135346,0.04159772618547221,0.41108501622053095,0.03416644660042877,0.8799588477426618,0.027015120958138975,6.5929083824157715
ga,58,2,8,0.15454647721959652,2.320047619795716,1.287730240161329,0.34855428859927035,1.2208661955755733,0.04699631604722412,0.4094128055774623,0.03950022751212649,0.8790895617378027,0.031821907870026395,6.580038547515869
ga,59,2,10,0.08205381247704253,4.249953812475539,0.22911200656374736,0.1800957215512835,1.2231379699193117,0.042807521732660635,0.4071663049810394,0.03807108301501078,0.8850357118610084,0.02833450776925456,9.865546941757202
ga,60,2,6,0.13610487113404368,1.6862010253433073,0.3225435580672036,0.8743038377446615,1.2347886618278678,0.04360822782335765,0.39518399151239025,0.04788768223998154,0.8967276129539954,0.03487502130809078,5.330792427062988
ga,61,2,6,0.15859600080073,2.7935488849050834,0.6247332827640821,0.12763451220835065,1.2278093722785388,0.0439935417375454,0.4022492679388465,0.04421340658716253,0.8891538260344986,0.031148259782915112,5.292901515960693
ga,62,2,8,0.13999710418256753,1.9096212615330255,1.2570276335714206,0.2795049672186196,1.2255265672384084,0.038596785938174345,0.4046865131867339,0.03852851922635766,0.8877735691325057,0.02783808675857353,6.647257328033447
ga,63,3,8,0.13999710418256753,1.9096212615330255,1.2570276335714206,0.0,1.2253731022152787,0.04104758551163404,0.40468353118631156,0.04187582782868424,0.8888477565145234,0.030414417083937842,6.6198625564575195
ga,64,3,8,0.13610487113404368,2.7805559800742103,0.045424146267720955,1.07936220539995,1.2224993782126232,0.04148622105637027,0.407742073510278,0.03780417848885342,0.8843353757772722,0.027836593959442664,6.636338710784912
ga,65,3,8,0.13610487113404368,2.8965246597927927,0.3225435580672036,0.0,1.2191245401590254,0.04013226148731343,0.4112304268234682,0.03358193030044165,0.8809302806963469,0.026787147563891247,6.612489938735962
ga,66,3,7,0.13610487113404368,3.0979480937397623,0.3225435580672036,0.9380752685469601,1.2271144987784859,0.04262401493337027,0.4031908890162059,0.039889830690531355,0.8888021622535384,0.028328946108674473,5.864187955856323
ga,67,3,8,0.13610487113404368,1.4688346867518005,0.4914413814248496,0.1800957215512835,1.2217205968691958,0.04199131940555714,0.40863352591383517,0.03608441268826324,0.8821410121260399,0.027771159247588134,6.640790700912476
ga,68,3,8,0.13610487113404368,1.687480340010694,1.3396279893650207,0.611913248301305,1.2234706967084108,0.04281768071873385,0.4065795733616753,0.04194940721263466,0.8857228158427415,0.032188749064046646,6.624863862991333
