channel_id,title,subscribers,description,avatar_url,url,error
31845281,Владимир Кулешов. Живые подписчики канал Rutube — полная коллекция видео на RUTUBE,334,Добро пожаловать на канал Владимир Кулешов. Живые подписчики канал Rutube на RUTUBE. Здесь вы можете посмотреть 123 интересных видео в хорошем качестве без регистрации и совершенно бесплатно. (31845281),https://pic.rutubelist.ru/user/2b/83/2b83fa62bf6263a87699f5493c17ae81.jpg,https://rutube.ru/channel/31845281/,
23338090,Продвижение в социальных сетях — полная коллекция видео на RUTUBE,334,Добро пожаловать на канал Продвижение в социальных сетях на RUTUBE. Здесь вы можете посмотреть 5 интересных видео в хорошем качестве без регистрации и совершенно бесплатно. (23338090),https://pic.rutubelist.ru/user/ac/91/ac91150fe41724d3eb0cca2ecf0fb2bf.jpg,https://rutube.ru/channel/23338090/,
33621445,JavaScript и REST API — полная коллекция видео на RUTUBE,34,Добро пожаловать на канал JavaScript и REST API на RUTUBE. Здесь вы можете посмотреть 1022 интересных видео в хорошем качестве без регистрации и совершенно бесплатно. (33621445),https://static.rutubelist.ru/static/img/_thumb_default_05.png,https://rutube.ru/channel/33621445/,
